2017-11-03 14:57:47.005 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.john.test.service.UserServiceTest], using SpringBootContextLoader
2017-11-03 14:57:47.013 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.john.test.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-11-03 14:57:47.014 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.john.test.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-03 14:57:47.225 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.john.Application for test class com.john.test.service.UserServiceTest
2017-11-03 14:57:47.235 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-03 14:57:47.271 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3db335f9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@409c8e14, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6633e42f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@58c9fe14, org.springframework.test.context.transaction.TransactionalTestExecutionListener@35480096, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@a1e932e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5d50b632, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5de9bc7a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1c551dc1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1814786f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@67eecbc2, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6e8362dc]
2017-11-03 15:01:15.776 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.john.test.service.UserServiceTest], using SpringBootContextLoader
2017-11-03 15:01:15.783 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.john.test.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-11-03 15:01:15.783 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.john.test.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-03 15:01:15.889 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.john.Application for test class com.john.test.service.UserServiceTest
2017-11-03 15:01:15.904 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-03 15:01:15.941 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3f90d589, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3db335f9, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@409c8e14, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6633e42f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@58c9fe14, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@35480096, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@a1e932e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5d50b632, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5de9bc7a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1c551dc1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1814786f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@67eecbc2]
2017-11-03 15:02:49.047 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.john.test.service.UserServiceTest], using SpringBootContextLoader
2017-11-03 15:02:49.055 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.john.test.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-11-03 15:02:49.056 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.john.test.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-03 15:02:49.179 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.john.Application for test class com.john.test.service.UserServiceTest
2017-11-03 15:02:49.195 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-03 15:02:49.220 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7050c91f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@47c44bd4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@284e701b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@35a21149, org.springframework.test.context.transaction.TransactionalTestExecutionListener@231ceb21, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3f90d589, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3db335f9, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@409c8e14, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6633e42f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@58c9fe14, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@35480096, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@a1e932e]
